Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
140,1762,1762.000,114,458,6141,5651,9105,10626,11694,13469,17197
141,2280,2280.000,107,446,6073,4384,6298,6456,6560,9063,14003
142,2164,2164.000,129,480,6220,4624,6491,6807,8505,11424,13533
143,2208,2208.000,105,439,6324,4526,6639,6772,6865,8632,9891
144,2214,2214.000,107,464,5367,4506,6498,6647,6795,20567,21828
145,2324,2324.000,118,451,5858,4299,6324,6453,6543,8104,10327
146,2166,2166.000,89,450,6210,4617,6447,6660,8041,12421,13308
147,2289,2289.000,104,456,6112,4377,6418,6552,6682,9099,9550
148,2286,2286.000,91,458,6111,4364,6389,6567,6666,8362,10468
149,2250,2250.000,111,478,6131,4448,6329,6517,6597,7991,9561
150,2266,2266.000,95,478,6155,4416,6403,6572,6671,8387,9742
151,2219,2219.000,95,467,6236,4502,6422,6606,6681,7982,9636
152,2289,2289.000,93,464,6072,4366,6346,6534,6642,9612,10881
153,2239,2239.000,109,481,6234,4465,6596,6705,6801,8434,9758
154,2200,2200.000,107,514,6322,4539,6543,6697,6806,8353,9947
155,2306,2306.000,94,457,6136,4338,6497,6650,6790,8369,10438
156,2255,2255.000,116,422,6218,4437,6439,6585,6692,8379,9753
157,2184,2184.000,100,442,6329,4578,6618,6756,6886,9343,10056
158,2200,2200.000,99,427,6387,4533,6641,6778,6889,9753,10631
159,2215,2215.000,92,472,6276,4522,6549,6718,6841,8369,9809
160,2125,2125.000,107,457,6055,4723,6426,7815,11505,14594,16440
161,1226,1226.000,107,503,9382,8142,10842,13140,17434,27624,36509
162,2236,2236.000,112,500,6075,4449,6265,6448,6824,10232,11951
163,2229,2229.000,106,485,6037,4508,6243,6457,7793,10955,12123
164,2355,2355.000,100,452,5930,4240,6229,6449,6979,8067,11077
165,2318,2318.000,112,471,5979,4308,6236,6402,6524,9132,10302
166,2310,2310.000,103,478,6016,4318,6210,6401,6498,7952,9363
167,2316,2316.000,95,485,6031,4324,6317,6489,6611,7720,11282
168,2229,2229.000,94,506,6207,4481,6440,6627,6747,9332,10924
169,2235,2235.000,98,486,6211,4480,6587,6699,6783,9404,11749
170,2249,2249.000,95,447,6294,4437,6603,6740,6825,8340,10970
171,2337,2337.000,91,486,5264,4309,5649,6357,6668,20545,35371
172,2120,2120.000,94,529,6123,4680,6346,6610,6748,13498,31363
173,2295,2295.000,93,528,6019,4364,6327,6479,6581,7966,10604
174,2209,2209.000,103,558,6145,4512,6303,6493,6612,8080,9569
175,2304,2304.000,93,526,6007,4352,6285,6378,6525,8132,11095
176,2326,2326.000,114,510,5908,4290,6261,6348,6407,7976,9277
177,2038,2038.000,107,493,6268,4913,6562,6735,6861,22832,25791
178,2187,2187.000,102,480,6289,4569,6500,6669,6787,9527,12684
179,2184,2184.000,118,477,6282,4567,6469,6611,6738,8283,10551
180,2230,2230.000,101,482,6198,4496,6432,6623,6721,8242,9696
181,2171,2171.000,95,463,6348,4603,6624,6756,6927,8605,9819
182,1494,1494.000,103,468,6625,6674,10507,13434,16560,22945,23856
183,1954,1954.000,110,488,6064,5131,6361,10487,11413,17571,19383
184,2383,2383.000,101,460,5857,4189,6138,6291,6358,7714,9267
185,2188,2188.000,100,463,6047,4571,6211,6608,7810,10930,19231
186,2356,2356.000,97,439,5927,4248,6109,6292,6401,8720,10266
187,2342,2342.000,92,469,5905,4255,6137,6327,6413,7839,9408
188,2297,2297.000,99,460,6077,4356,6332,6510,6587,7976,9638
189,2363,2363.000,106,451,5936,4236,6237,6334,6515,8058,13474
190,2345,2345.000,105,461,5915,4267,6157,6320,6420,8829,10298
191,2306,2306.000,99,451,6018,4334,6211,6379,6461,8007,9422
192,2301,2301.000,108,475,6000,4332,6236,6392,6487,8981,10357
193,2350,2350.000,89,459,5975,4262,6250,6425,6512,7933,9496
194,2240,2240.000,102,455,6175,4462,6393,6566,6685,8117,9715
195,2192,2192.000,94,420,6271,4561,6561,6695,6846,9252,10811
196,2152,2152.000,97,430,6427,4645,6582,6743,6832,8975,9966
197,2392,2392.000,97,401,5172,4175,5521,6569,6697,20021,21077
198,2321,2321.000,95,389,6056,4307,6355,6509,6624,8379,11096
199,2297,2297.000,94,391,6144,4356,6410,6578,6668,8188,10427
200,2274,2274.000,94,369,6122,4399,6313,6482,6639,9312,10382
201,2319,2319.000,84,382,6114,4310,6338,6516,6665,7981,9913
202,2258,2258.000,100,426,6094,4424,6253,6433,6570,9205,10209
203,1523,1523.000,92,413,6174,6596,9614,15566,20547,25457,27810
204,1541,1541.000,93,433,6449,6452,10310,11575,12547,18175,19198
205,2212,2212.000,91,410,6309,4514,6564,6679,6849,8748,11105
206,2054,2054.000,98,433,6418,4888,6584,6818,9751,11500,19833
207,2273,2273.000,98,405,6259,4390,6541,6747,7031,8652,10024
208,2290,2290.000,102,448,6082,4371,6297,6522,6752,9469,12240
209,2272,2272.000,126,473,5990,4400,6224,6326,7370,11425,13644
210,2407,2407.000,97,467,5790,4142,6142,6294,6415,7912,9166
211,2403,2403.000,104,469,5839,4167,6135,6260,6337,7679,9319
212,2376,2376.000,104,475,5879,4206,6158,6325,6457,8711,10328
213,2357,2357.000,89,472,5895,4239,6207,6384,6469,9494,11628
214,2297,2297.000,92,497,6043,4347,6281,6424,6514,8136,9518
215,2339,2339.000,105,497,5976,4286,6230,6384,6476,7743,10554
216,2380,2380.000,102,506,5838,4192,6143,6295,6364,8798,10032
217,2292,2292.000,108,525,6003,4360,6213,6353,6454,7801,11902
218,2326,2326.000,109,474,5980,4300,6251,6373,6459,8709,10128
219,2277,2277.000,114,436,6051,4391,6295,6543,7053,8358,10378
220,2263,2263.000,105,372,6134,4420,6297,6453,6572,7987,10913
221,2238,2238.000,107,371,6257,4467,6579,6727,6824,8477,9642
222,2146,2146.000,108,374,6432,4659,6630,6790,6878,9806,11895
223,2391,2391.000,100,379,5192,4180,5893,6575,6742,12976,37242
224,1846,1846.000,103,378,5981,5459,6306,9047,16229,29552,31574
225,1394,1394.000,98,393,9292,7117,10857,12045,13126,18010,23870
226,2288,2288.000,99,436,6102,4366,6327,6505,6646,9008,13628
227,2207,2207.000,108,445,6133,4527,6354,6539,8014,11043,13421
228,2171,2171.000,106,451,6308,4610,6645,6811,6975,9837,15065
229,2187,2187.000,100,468,6315,4566,6530,6700,6777,9541,10589
230,2230,2230.000,111,456,6216,4481,6494,6667,6738,8330,9858
231,2269,2269.000,99,422,6204,4409,6478,6669,6744,8058,10145
232,2151,2151.000,107,480,6431,4654,6690,6862,7098,9704,11669
233,2207,2207.000,95,449,6300,4521,6597,6775,6869,8753,10640
234,2174,2174.000,101,446,6218,4629,6553,6757,7685,13771,17557
235,2255,2255.000,101,478,6001,4410,6211,6370,6472,9402,18341
236,2395,2395.000,98,440,5845,4175,6133,6284,6373,9102,10327
237,2433,2433.000,91,455,5762,4103,6092,6245,6338,8475,9326
238,2359,2359.000,109,453,5925,4240,6155,6305,6382,7749,9391
239,2307,2307.000,96,427,6057,4329,6294,6478,6609,8075,10446
240,2186,2186.000,97,436,6024,4595,6166,6454,7488,16506,25224
241,2267,2267.000,110,431,6062,4397,6245,6386,6494,7876,9280
242,2348,2348.000,101,443,5975,4256,6221,6362,6482,8059,10360
243,2338,2338.000,101,450,5970,4273,6271,6436,6547,8163,9527
244,2285,2285.000,98,456,6144,4384,6389,6571,6650,7976,9646
245,2182,2182.000,95,467,6305,4571,6610,6780,6992,8795,9893
246,1436,1436.000,107,440,6682,6966,9900,12973,15288,34520,35854
247,1886,1886.000,102,445,6253,5306,6623,10936,11995,16592,19886
248,2285,2285.000,104,459,6132,4377,6411,6578,6644,8066,10008
249,2173,2173.000,110,452,6208,4592,6439,6758,8290,11200,18002
250,2276,2276.000,108,477,6077,4401,6318,6531,6690,8289,9645
251,2250,2250.000,102,500,6180,4439,6381,6597,6682,8051,9576
252,2261,2261.000,99,514,6151,4428,6445,6631,6736,8273,9909
253,2225,2225.000,102,528,6177,4479,6411,6564,6704,9406,10445
254,2164,2164.000,108,494,6302,4632,6607,6756,6895,9675,10909
255,2203,2203.000,108,511,6256,4529,6490,6667,6773,8294,9818
256,2235,2235.000,96,473,6236,4480,6524,6680,6782,9698,10652
257,2238,2238.000,86,505,6168,4459,6458,6560,6658,8187,9825
258,2199,2199.000,97,482,6347,4561,6657,6809,6888,8689,11571
259,2166,2166.000,108,483,6433,4604,6643,6760,6822,8685,10001
260,2251,2251.000,110,454,6190,4434,6541,6640,6854,9725,10619
261,2304,2304.000,108,457,6042,4345,6257,6438,6505,8033,9563
262,2317,2317.000,110,449,6041,4311,6264,6447,6506,7736,9359
263,2296,2296.000,114,466,6000,4344,6215,6363,6437,9062,13275
264,2293,2293.000,102,500,6007,4369,6150,6289,6384,7777,10112
265,2071,2071.000,104,494,6018,4824,6241,6483,9300,19588,23162
266,2303,2303.000,114,504,5955,4341,6203,6348,6502,9508,10511
267,2294,2294.000,105,509,5992,4358,6151,6327,6410,9417,13961
268,1238,1238.000,111,541,9565,8171,11147,13799,17801,23003,27637
269,2033,2033.000,97,488,6309,4870,6665,6984,9534,13050,17982
270,2223,2223.000,97,478,6307,4498,6641,6786,6866,8507,10846
271,2198,2198.000,103,456,5273,4549,6045,6609,9678,21388,30826
272,2265,2265.000,110,473,6158,4395,6509,6699,6852,8237,9941
273,2243,2243.000,106,464,6187,4472,6485,6667,6824,11064,12612
274,2257,2257.000,115,489,6167,4430,6400,6554,6675,8121,9412
275,2301,2301.000,117,447,6069,4341,6388,6508,6622,8214,9546
276,2213,2213.000,107,466,6227,4517,6370,6542,6652,8095,11030
277,2267,2267.000,108,441,6082,4404,6321,6542,6628,8047,10278
278,2289,2289.000,100,437,6140,4371,6366,6521,6598,9217,10634
279,2279,2279.000,97,445,6123,4384,6389,6572,6735,8221,9913
280,2283,2283.000,111,439,6182,4385,6432,6601,6792,8311,11177
281,2205,2205.000,101,424,6311,4530,6594,6720,6827,8546,9924
282,2237,2237.000,107,441,6252,4469,6497,6661,6781,8347,13003
283,2208,2208.000,95,455,6254,4526,6489,6684,6781,10361,18358
284,2209,2209.000,109,481,6274,4524,6505,6666,6793,8213,9808
285,2248,2248.000,107,466,6292,4449,6617,6814,6943,8597,9922
286,2199,2199.000,112,457,6364,4551,6626,6791,6877,8419,9967
287,2271,2271.000,93,426,6130,4395,6488,6649,6789,9270,10512
288,2355,2355.000,97,437,5977,4251,6232,6410,6473,7886,10427
289,2156,2156.000,101,478,6086,4661,6243,6400,7723,13463,16936
290,1206,1206.000,121,459,9245,8241,11556,13701,17297,32333,36720
291,2191,2191.000,98,444,5968,4561,6163,6713,9406,11626,13263
292,2277,2277.000,108,444,5970,4394,6206,6406,7830,10698,13677
293,2306,2306.000,104,441,6041,4336,6271,6481,7450,8175,9322
294,2252,2252.000,107,468,6097,4429,6303,6461,6605,8155,10132
295,2273,2273.000,110,456,6135,4410,6377,6498,6607,8109,9608
296,2154,2154.000,90,466,6016,4634,6566,6685,6821,16136,21215
297,2285,2285.000,99,448,5356,4372,6189,6432,6604,20450,21620
298,2261,2261.000,101,460,6135,4421,6415,6545,6654,8411,11054
299,2274,2274.000,103,442,6144,4400,6419,6547,6679,8220,11436
300,2283,2283.000,102,459,6051,4379,6342,6425,6555,8054,10287
301,2244,2244.000,102,415,5992,4459,6312,6405,7711,12976,28017
302,2244,2244.000,95,437,6171,4451,6338,6535,6670,8130,9616
303,2345,2345.000,97,430,6031,4264,6331,6489,6587,8156,9574
304,2240,2240.000,101,451,6130,4461,6314,6467,6540,9049,12173
305,2321,2321.000,101,428,6159,4310,6542,6686,6794,8099,10011
306,2199,2199.000,100,439,6323,4547,6484,6652,6742,8094,9760
307,2157,2157.000,102,462,6331,4629,6546,7052,7496,9643,11023
308,2278,2278.000,104,456,6134,4384,6411,6507,6633,8125,9578
309,2194,2194.000,108,457,6313,4556,6596,6752,6887,8577,10025
310,2182,2182.000,111,457,6371,4592,6620,6790,7030,8724,10855
311,2076,2076.000,105,446,6370,4837,6557,6774,7969,15955,27818
312,1290,1290.000,95,471,9093,7738,10667,13479,16756,28586,37730
313,2376,2376.000,110,441,5822,4189,6137,6320,6442,9261,18651
314,2300,2300.000,98,447,5912,4351,6134,6332,7666,11775,14641
315,2281,2281.000,103,481,6030,4382,6265,6395,6653,8225,11208
316,2312,2312.000,102,446,6046,4325,6316,6433,6540,7954,9454
317,2338,2338.000,89,477,5909,4277,6182,6356,6430,9164,10242
318,2380,2380.000,92,455,5909,4199,6201,6337,6429,7655,9273
319,2348,2348.000,107,459,5924,4258,6259,6431,6537,9267,10311
320,2345,2345.000,104,460,5930,4267,6257,6366,6438,9096,10309
321,2307,2307.000,96,455,6067,4319,6312,6485,6599,7853,9690
322,2218,2218.000,115,469,6245,4514,6525,6684,6804,8444,9884
323,2171,2171.000,109,450,6422,4610,6620,6690,6742,8455,9990
324,2303,2303.000,115,450,5199,4342,6167,6632,6791,19925,21377
325,2319,2319.000,100,449,5851,4315,6290,6410,6527,10224,11984
326,2283,2283.000,103,453,6141,4362,6467,6540,6631,8228,9811
