Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,UpdatePosition,1722222852.310737,704,0,1
4,DeleteEmployee,1722222852.311443,1448,0,1
4,DeleteEmployee,1722222852.312893,1601,0,1
2,UpdatePosition,1722222852.314495,854,0,1
4,DeleteEmployee,1722222852.315352,1548,0,1
1,InsertPosition,1722222852.316903,613,0,1
3,UpdateEmployee,1722222852.317518,617,0,1
4,DeleteEmployee,1722222852.318137,1397,0,1
1,InsertPosition,1722222852.319535,611,0,1
1,InsertPosition,1722222852.320149,618,0,1
2,UpdatePosition,1722222852.320768,713,0,1
2,UpdatePosition,1722222852.321483,615,0,1
3,UpdateEmployee,1722222852.322100,653,0,1
4,DeleteEmployee,1722222852.322756,1479,0,1
3,UpdateEmployee,1722222852.324237,648,0,1
2,UpdatePosition,1722222852.324887,627,0,1
2,UpdatePosition,1722222852.325516,671,0,1
3,UpdateEmployee,1722222852.326189,644,0,1
4,DeleteEmployee,1722222852.326834,1438,0,1
1,InsertPosition,1722222852.328274,608,0,1
2,UpdatePosition,1722222852.328884,710,0,1
2,UpdatePosition,1722222852.329596,799,0,1
2,UpdatePosition,1722222852.330397,726,0,1
1,InsertPosition,1722222852.331125,597,0,1
2,UpdatePosition,1722222852.331724,755,0,1
3,UpdateEmployee,1722222852.332480,654,0,1
3,UpdateEmployee,1722222852.333136,673,0,1
1,InsertPosition,1722222852.333811,608,0,1
3,UpdateEmployee,1722222852.334421,640,0,1
2,UpdatePosition,1722222852.335063,758,0,1
1,InsertPosition,1722222852.335822,597,0,1
2,UpdatePosition,1722222852.336421,799,0,1
3,UpdateEmployee,1722222852.337222,615,0,1
1,InsertPosition,1722222852.337839,586,0,1
2,UpdatePosition,1722222852.338427,779,0,1
3,UpdateEmployee,1722222852.339208,686,0,1
3,UpdateEmployee,1722222852.339896,619,0,1
1,InsertPosition,1722222852.340517,629,0,1
1,InsertPosition,1722222852.341148,601,0,1
1,InsertPosition,1722222852.341752,588,0,1
2,UpdatePosition,1722222852.342343,672,0,1
1,InsertPosition,1722222852.343016,592,0,1
4,DeleteEmployee,1722222852.343610,1538,0,1
3,UpdateEmployee,1722222852.345151,645,0,1
1,InsertPosition,1722222852.345798,624,0,1
2,UpdatePosition,1722222852.346424,739,0,1
